rank,ticker,company,sector,weight,market_cap_usd
47,MRVL,Marvell Technology Inc.,Technology,0.29,179.3B
48,MAR,Marriott International Inc. Class A,Consumer Discretionary,0.27,101.7B
49,MELI,MercadoLibre Inc.,Consumer Discretionary,0.27,86.0B
50,REGN,Regeneron Pharmaceuticals Inc.,Health Care,0.25,65.2B
51,ADP,Automatic Data Processing Inc.,Technology,0.25,87.9B
52,CDNS,Cadence Design Systems Inc.,Technology,0.24,103.1B
53,ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,0.24,73.9B
54,CSX,CSX Corporation,Industrials,0.24,85.1B
55,SNPS,Synopsys Inc.,Technology,0.24,92.0B
56,ABNB,Airbnb Inc. Class A,Consumer Discretionary,0.24,79.8B
57,MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.23,80.1B
58,MNST,Monster Beverage Corporation,Consumer Staples,0.22,86.1B
59,ROST,Ross Stores Inc.,Consumer Discretionary,0.22,73.5B
60,AEP,American Electric Power Company Inc.,Utilities,0.22,69.5B
61,WBD,Warner Bros. Discovery Inc. Series A,Communication Services,0.22,67.8B
62,CTAS,Cintas Corporation,Industrials,0.21,69.2B
63,DASH,DoorDash Inc. Class A,Consumer Discretionary,0.2,68.3B
64,PCAR,PACCAR Inc.,Industrials,0.19,59.1B
65,FTNT,Fortinet Inc.,Technology,0.19,95.0B
66,BKR,Baker Hughes Company Class A,Energy,0.18,64.2B
67,MPWR,Monolithic Power Systems Inc.,Technology,0.17,80.2B
68,FANG,Diamondback Energy Inc.,Energy,0.17,54.6B
69,FAST,Fastenal Company,Industrials,0.17,51.4B
70,EA,Electronic Arts Inc.,Communication Services,0.16,50.4B
71,ADSK,Autodesk Inc.,Technology,0.16,50.9B
72,NXPI,NXP Semiconductors N.V.,Technology,0.15,83.4B
73,EXC,Exelon Corporation,Utilities,0.15,46.6B
74,XEL,Xcel Energy Inc.,Utilities,0.15,49.5B
75,FER,Ferrovial SE,Utilities,0.15,48.9B
76,IDXX,IDEXX Laboratories Inc.,Health Care,0.14,44.8B
77,ALNY,Alnylam Pharmaceuticals Inc.,Health Care,0.14,40.7B
78,MSTR,Strategy Inc.,Technology,0.13,53.2B
79,DDOG,Datadog Inc. Class A,Technology,0.13,80.2B
80,ODFL,Old Dominion Freight Line Inc.,Industrials,0.13,45.9B
81,PYPL,PayPal Holdings Inc.,Technology,0.13,39.2B
82,CCEP,Coca-Cola Europacific Partners plc,Consumer Staples,0.13,40.9B
83,TRI,Thomson Reuters Corporation,Technology,0.12,36.9B
84,TTWO,Take-Two Interactive Software Inc.,Communication Services,0.11,40.5B
85,ROP,Roper Technologies Inc.,Industrials,0.11,32.3B
86,MCHP,Microchip Technology Incorporated,Technology,0.11,52.1B
87,INSM,Insmed Incorporated,Health Care,0.11,23.5B
88,KDP,Keurig Dr Pepper Inc.,Consumer Staples,0.11,40.9B
89,AXON,Axon Enterprise Inc.,Industrials,0.11,35.4B
90,WDAY,Workday Inc. Class A,Technology,0.1,32.1B
91,PAYX,Paychex Inc.,Technology,0.1,34.2B
92,GEHC,GE HealthCare Technologies Inc.,Health Care,0.1,28.6B
93,CPRT,Copart Inc.,Industrials,0.1,32.1B
94,CTSH,Cognizant Technology Solutions Corporation Class A,Technology,0.09,25.5B
95,CHTR,Charter Communications Inc. Class A,Communication Services,0.08,20.8B
96,KHC,Kraft Heinz Company,Consumer Staples,0.08,29.0B
97,VRSK,Verisk Analytics Inc.,Technology,0.08,22.6B
98,DXCM,DexCom Inc.,Health Care,0.08,27.9B
99,ZS,Zscaler Inc. Class A,Technology,0.07,21.0B
100,TEAM,Atlassian Corporation Class A,Technology,0.06,23.7B
